,w_star,method,gamma,N,expected_return,wasserstein_distance
4398,"[2.18989933e-01 0.00000000e+00 2.13013956e-01 5.67996110e-01
 2.38524478e-16]",Bayesian,5.0,50,28.164058913830004,0.11090782377618269
4399,[0.17208139 0.         0.04354431 0.7843743  0.        ],Bayesian,5.0,100,28.2473305759,0.024356547976182683
4400,"[0.00000000e+00 1.28369537e-16 0.00000000e+00 1.00000000e+00
 9.02056208e-17]",Bayesian,5.0,200,28.680000000000007,0.0618937320238173
4401,"[8.99904802e-13 2.22451698e-12 2.77473694e-01 7.22526306e-01
 4.03997453e-12]",Bayesian,0.1,50,28.74104421285726,0.04673738524816237
4402,"[6.10445924e-12 1.27245984e-11 3.01408130e-01 6.98591870e-01
 1.78180381e-11]",Bayesian,0.1,100,28.746309789511013,0.0563111596442937
4403,"[2.92381843e-11 3.12547054e-11 1.98686741e-01 8.01313259e-01
 3.82710761e-11]",Bayesian,0.1,200,28.723711085496735,0.015222604055330281
4404,"[1.47104551e-15 0.00000000e+00 2.02615702e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000096,1.787459070132653e-15
4405,"[0.00000000e+00 0.00000000e+00 4.96824804e-15 1.00000000e+00
 2.33146835e-15]",Bayesian,1.0,100,28.6800000000002,2.5479618421326533e-15
4406,"[7.49400542e-16 8.88178420e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.680000000000042,1.471045507643961e-15
4407,"[6.66594317e-01 1.38777878e-16 0.00000000e+00 3.33405683e-01
 0.00000000e+00]",Bayesian,5.0,50,26.966852605310002,0.0714685411761827
4408,"[9.24265763e-02 4.02455846e-16 0.00000000e+00 9.07573424e-01
 0.00000000e+00]",Bayesian,5.0,100,28.44246370751301,0.024923101563817388
4409,"[3.59038255e-01 9.36750677e-17 4.33680869e-17 6.40961745e-01
 5.20417043e-18]",Bayesian,5.0,200,27.757271684650004,0.08172156997618268
4410,[0.         0.         0.26579569 0.73420431 0.        ],Bayesian,0.1,50,28.7384750518,0.04206618364959525
4411,[0.        0.        0.0563245 0.9436755 0.       ],Bayesian,0.1,100,28.69239139,0.04172229236442251
4412,"[0.00000000e+00 0.00000000e+00 4.98306951e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200,28.68000000014401,0.0642520923634259
4413,[0.         0.         0.10843477 0.89156523 0.        ],Bayesian,1.0,50,28.703855649399998,0.04337390800000117
4414,"[1.02695630e-15 1.08246745e-15 0.00000000e+00 1.00000000e+00
 1.49880108e-15]",Bayesian,1.0,100,28.68000000000009,1.809663530132653e-15
4415,"[0.00000000e+00 0.00000000e+00 1.94289029e-15 1.00000000e+00
 5.96744876e-15]",Bayesian,1.0,200,28.680000000000202,2.670086374132653e-15
4416,"[4.30584641e-01 0.00000000e+00 1.23165367e-16 5.69415359e-01
 0.00000000e+00]",Bayesian,5.0,50,27.573397472630003,0.11034012437618271
4417,"[1.24900090e-16 0.00000000e+00 1.14491749e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100,28.680000000000007,0.061893732023817316
4418,"[2.44948448e-01 5.68989300e-16 0.00000000e+00 7.55051552e-01
 2.09901541e-16]",Bayesian,5.0,200,28.050482488640018,0.036085647176182845
4419,[0.         0.         0.23733647 0.76266353 0.        ],Bayesian,0.1,50,28.7322140234,0.030682495649595257
4420,"[0.00000000e+00 0.00000000e+00 3.75086073e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100,28.6800000001084,0.06425209236367234
4421,"[1.12369044e-12 3.21416819e-12 3.31574648e-01 6.68425352e-01
 4.67372234e-12]",Bayesian,0.1,200,28.75294642278338,0.06837776684779295
4422,"[0.00000000e+00 1.44328993e-15 1.27675648e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000074,1.632027846132653e-15
4423,"[5.27355937e-16 0.00000000e+00 8.88178420e-16 1.00000000e+00
 6.93889390e-16]",Bayesian,1.0,100,28.680000000000057,1.565414464643961e-15
4424,"[0.00000000e+00 1.13797860e-15 3.08086889e-15 1.00000000e+00
 4.66293670e-15]",Bayesian,1.0,200,28.68000000000023,2.8643754021326534e-15
4425,"[1.44328993e-15 2.41473508e-15 0.00000000e+00 1.00000000e+00
 8.32667268e-17]",Bayesian,5.0,50,28.680000000000103,0.061893732023817136
4426,"[6.02140884e-01 2.15105711e-16 1.04083409e-17 3.97859116e-01
 3.26128013e-16]",Bayesian,5.0,100,27.13249792812001,0.0972499143761828
4427,"[3.46896995e-02 6.93889390e-18 0.00000000e+00 9.65310301e-01
 2.70616862e-16]",Bayesian,5.0,200,28.59084748662501,0.048017852323817375
4428,"[2.40792810e-12 8.42750673e-12 3.83160275e-01 6.16839725e-01
 1.31485972e-11]",Bayesian,0.1,50,28.76429526109326,0.08901201764479846
4429,[0.         0.         0.27710339 0.72289661 0.        ],Bayesian,0.1,100,28.740962745799997,0.046589263649595244
4430,"[0.00000000e+00 0.00000000e+00 3.34912653e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200,28.68000000009679,0.06425209236375268
4431,"[0.00000000e+00 0.00000000e+00 3.21964677e-15 1.00000000e+00
 6.35602682e-15]",Bayesian,1.0,50,28.680000000000245,3.0031532821326532e-15
4432,"[0.00000000e+00 0.00000000e+00 1.38777878e-16 1.00000000e+00
 4.99600361e-15]",Bayesian,1.0,100,28.680000000000124,2.1371793222564142e-15
4433,"[0.00000000e+00 6.94926156e-15 4.80184582e-02 9.51981542e-01
 0.00000000e+00]",Bayesian,1.0,200,28.690564066540173,0.019207383240002488
4434,"[1.19865150e-01 0.00000000e+00 9.88792381e-17 8.80134850e-01
 0.00000000e+00]",Bayesian,5.0,50,28.371946564500004,0.013947672023817336
4435,"[5.06686585e-01 0.00000000e+00 0.00000000e+00 4.93313415e-01
 5.61616725e-17]",Bayesian,5.0,100,27.377815476549998,0.13543163397618269
4436,"[6.06177580e-01 4.96130914e-16 7.97972799e-17 3.93822420e-01
 3.74700271e-16]",Bayesian,5.0,200,27.122123619400025,0.09563523597618287
4437,[0.        0.        0.4029534 0.5970466 0.       ],Bayesian,0.1,50,28.768649747999998,0.09692926764959527
4438,[0.         0.         0.07145396 0.92854604 0.        ],Bayesian,0.1,100,28.695719871199998,0.035670508364422496
4439,[0.         0.         0.04035305 0.95964695 0.        ],Bayesian,0.1,200,28.688877671,0.048110872364422505
4440,"[0.00000000e+00 0.00000000e+00 1.38777878e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000003,1.548761119367722e-15
4441,[0.         0.         0.27883875 0.72116125 0.        ],Bayesian,1.0,100,28.741344524999995,0.11153550000000119
4442,"[3.05311332e-16 1.52655666e-15 0.00000000e+00 1.00000000e+00
 1.49880108e-15]",Bayesian,1.0,200,28.68000000000008,1.754152378532653e-15
4443,"[1.87611051e-16 2.02417944e-16 3.37513927e-02 9.66248607e-01
 0.00000000e+00]",Bayesian,5.0,50,28.68742529779001,0.0483931748838174
4444,"[4.42666350e-01 7.14489232e-17 6.60011794e-02 4.91332470e-01
 0.00000000e+00]",Bayesian,5.0,100,27.556867722760003,0.14157327985618268
4445,"[1.96266579e-01 0.00000000e+00 6.59194921e-17 8.03733421e-01
 1.59594560e-16]",Bayesian,5.0,200,28.175594891970004,0.01661289957618272
4446,"[9.02871098e-13 0.00000000e+00 4.32264027e-01 5.67735973e-01
 0.00000000e+00]",Bayesian,0.1,50,28.775098085963577,0.10865351844941468
4447,"[3.26891672e-11 3.74236535e-11 1.44478752e-01 8.55521248e-01
 4.82060984e-11]",Bayesian,0.1,100,28.711785328402584,0.006460591574068527
4448,"[0.00000000e+00 1.41426529e-13 3.86779379e-02 9.61322062e-01
 0.00000000e+00]",Bayesian,0.1,200,28.688509143473567,0.04878091718439423
4449,"[0.00000000e+00 0.00000000e+00 3.33066907e-16 1.00000000e+00
 7.77156117e-15]",Bayesian,1.0,50,28.6800000000002,2.7089441795326534e-15
4450,"[3.33066907e-16 0.00000000e+00 1.66533454e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.680000000000014,1.4765966227677218e-15
4451,"[0.00000000e+00 1.49880108e-15 0.00000000e+00 1.00000000e+00
 5.24580379e-15]",Bayesian,1.0,200,28.680000000000167,2.4369395381326532e-15
4452,"[3.33066907e-16 0.00000000e+00 9.71445147e-17 1.00000000e+00
 9.71445147e-16]",Bayesian,5.0,50,28.680000000000035,0.061893732023817205
4453,"[2.09359534e-01 3.88578059e-16 0.00000000e+00 7.90640466e-01
 0.00000000e+00]",Bayesian,5.0,100,28.141945997620013,0.021850081576182755
4454,"[1.36396692e-01 6.24500451e-17 2.08166817e-17 8.63603308e-01
 0.00000000e+00]",Bayesian,5.0,200,28.32946050156,0.007335055223817312
4455,"[1.53066448e-12 4.50234294e-12 0.00000000e+00 1.00000000e+00
 8.92896868e-12]",Bayesian,0.1,50,28.680000000369372,0.06425209236143012
4456,"[2.34527520e-13 2.32574109e-12 5.89865098e-01 4.10134902e-01
 4.47075097e-12]",Bayesian,0.1,100,28.809770321732856,0.09980186844818907
4457,[0.         0.         0.08890051 0.91109949 0.        ],Bayesian,0.1,200,28.6995581122,0.028691888364422505
4458,"[0.00000000e+00 0.00000000e+00 3.33066907e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.68000000000001,1.509903313567722e-15
4459,[0.         0.         0.16961618 0.83038382 0.        ],Bayesian,1.0,100,28.717315559599996,0.06784647200000118
4460,"[1.47104551e-15 0.00000000e+00 1.44328993e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000008,1.670885652132653e-15
4461,"[7.01305958e-17 0.00000000e+00 1.83328091e-01 8.16671909e-01
 0.00000000e+00]",Bayesian,5.0,50,28.72033218002,0.0114375043761827
4462,"[5.81670119e-01 1.90819582e-17 5.72458747e-17 4.18329881e-01
 0.00000000e+00]",Bayesian,5.0,100,27.18510779417,0.1054382203761827
4463,"[1.32199883e-01 6.24500451e-17 0.00000000e+00 8.67800117e-01
 6.90419943e-16]",Bayesian,5.0,200,28.340246300690023,0.009013778823817467
4464,"[1.55102652e-12 1.10653011e-12 1.42560194e-01 8.57439806e-01
 1.72187532e-12]",Bayesian,0.1,50,28.71136324279003,0.007228014763546621
4465,"[1.75241994e-12 1.80602656e-12 2.40625409e-01 7.59374591e-01
 3.02183992e-12]",Bayesian,0.1,100,28.732937590144356,0.03199807124827919
4466,"[1.47897520e-11 1.65046856e-11 1.09063300e-01 8.90936700e-01
 2.14188809e-11]",Bayesian,0.1,200,28.703993927320152,0.02062677236094742
4467,"[2.13717932e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000057,1.5931700398564141e-15
4468,"[0.00000000e+00 0.00000000e+00 2.74780199e-15 1.00000000e+00
 1.55431223e-15]",Bayesian,1.0,100,28.680000000000117,1.948441408132653e-15
4469,"[0.00000000e+00 7.49400542e-16 1.80411242e-15 1.00000000e+00
 3.27515792e-15]",Bayesian,1.0,200,28.68000000000015,2.253752740532653e-15
4470,"[0.00000000e+00 5.13478149e-16 1.11022302e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50,28.680000000000017,0.06189373202381723
4471,"[1.42247325e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.60315683e-16]",Bayesian,5.0,100,28.680000000000017,0.06189373202381723
4472,"[3.75798061e-02 1.49186219e-16 0.00000000e+00 9.62420194e-01
 0.00000000e+00]",Bayesian,5.0,200,28.583419901191004,0.04686180960381735
4473,"[2.01341871e-11 2.18007376e-11 1.17147498e-01 8.82852502e-01
 2.84664007e-11]",Bayesian,0.1,50,28.705772451323618,0.01739309316448501
4474,"[0.00000000e+00 0.00000000e+00 2.23543406e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100,28.680000000064602,0.06425209236397542
4475,"[6.35073858e-13 0.00000000e+00 2.40662314e-03 9.97593377e-01
 4.00343431e-13]",Bayesian,0.1,200,28.68052946113226,0.06328944313621541
4476,"[0.00000000e+00 2.22044605e-16 5.55111512e-17 1.00000000e+00
 3.33066907e-16]",Bayesian,1.0,50,28.680000000000014,1.4876988530839609e-15
4477,"[6.38378239e-16 2.08166817e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.680000000000067,1.6320278459326531e-15
4478,[1.0269563e-15 0.0000000e+00 6.9388939e-16 1.0000000e+00 0.0000000e+00],Bayesian,1.0,200,28.680000000000046,1.432187702132653e-15
4479,"[3.06150958e-01 1.12757026e-16 0.00000000e+00 6.93849042e-01
 5.12610787e-16]",Bayesian,5.0,50,27.893192037940015,0.060566651176182804
4480,"[0.00000000e+00 3.12250226e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100,28.680000000000007,0.061893732023817274
4481,"[0.00000000e+00 0.00000000e+00 1.39610545e-02 9.86038945e-01
 2.59841260e-16]",Bayesian,5.0,200,28.68307141765001,0.05630931012381737
4482,"[9.28535027e-13 2.89163138e-12 0.00000000e+00 1.00000000e+00
 5.22215604e-12]",Bayesian,0.1,50,28.680000000223412,0.06425209236261405
4483,[0.         0.         0.26990331 0.73009669 0.        ],Bayesian,0.1,100,28.7393787282,0.043709231649595254
4484,"[0.00000000e+00 0.00000000e+00 1.09027787e-11 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200,28.68000000031509,0.06425209236224194
4485,"[0.00000000e+00 5.55111512e-17 2.77555756e-16 1.00000000e+00
 4.71844785e-16]",Bayesian,1.0,50,28.68000000000002,1.471045507683961e-15
4486,"[0.00000000e+00 5.82867088e-16 1.30451205e-15 1.00000000e+00
 1.99840144e-15]",Bayesian,1.0,100,28.680000000000103,1.865174679732653e-15
4487,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.11022302e-15]",Bayesian,1.0,200,28.680000000000028,1.387778779856414e-15
4488,"[4.95082123e-01 4.19803081e-16 0.00000000e+00 5.04917877e-01
 1.04777298e-15]",Bayesian,5.0,50,27.40763894389004,0.13613911717618296
4489,"[0.00000000e+00 8.19996604e-17 2.72867761e-02 9.72713224e-01
 1.94147684e-16]",Bayesian,5.0,100,28.686003093610005,0.05097902160381737
4490,"[2.19317402e-01 9.54097912e-17 0.00000000e+00 7.80682598e-01
 1.90819582e-16]",Bayesian,5.0,200,28.116354276860005,0.025833228776182743
4491,"[0.00000000e+00 5.85712111e-13 7.02911739e-01 2.97088261e-01
 9.56298238e-13]",Bayesian,0.1,50,28.83464058261789,0.054583212049286844
4492,[0.         0.         0.13195516 0.86804484 0.        ],Bayesian,0.1,100,28.709030135200003,0.011470028364422513
4493,"[6.26637631e-13 1.81421544e-12 0.00000000e+00 1.00000000e+00
 3.68649555e-12]",Bayesian,0.1,200,28.68000000015124,0.06425209236319704
4494,"[0.00000000e+00 0.00000000e+00 1.44328993e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000042,1.4543921618564141e-15
4495,"[9.43689571e-16 0.00000000e+00 2.22044605e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.68000000000003,1.354472090043961e-15
4496,"[0.00000000e+00 8.04911693e-16 8.32667268e-17 1.00000000e+00
 1.99840144e-15]",Bayesian,1.0,200,28.68000000000007,1.665334536092653e-15
4497,"[9.01490427e-01 1.83880688e-16 1.04083409e-17 9.85095731e-02
 0.00000000e+00]",Bayesian,5.0,50,26.363169605478003,0.022489902803817352
4498,"[2.08166817e-17 0.00000000e+00 3.22658567e-16 1.00000000e+00
 3.12250226e-17]",Bayesian,5.0,100,28.68000000000001,0.061893732023817254
4499,[0.55963747 0.         0.         0.44036253 0.        ],Bayesian,5.0,200,27.241731702099997,0.1142512799761827
4500,[0.         0.         0.14116785 0.85883215 0.        ],Bayesian,0.1,50,28.711056927,0.007784952364422504
4501,[0.        0.        0.0635777 0.9364223 0.       ],Bayesian,0.1,100,28.693987094,0.03882101236442251
4502,[0.         0.         0.32561611 0.67438389 0.        ],Bayesian,0.1,200,28.7516355442,0.06599435164959526
4503,"[1.15708108e-14 1.24656442e-14 1.47210007e-01 8.52789993e-01
 1.68593169e-14]",Bayesian,1.0,50,28.712386201541026,0.05888400280000927
4504,"[1.66533454e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.44169138e-15]",Bayesian,1.0,100,28.680000000000085,1.820765761056414e-15
4505,"[1.66533454e-16 0.00000000e+00 4.44089210e-16 1.00000000e+00
 4.10782519e-15]",Bayesian,1.0,200,28.680000000000117,2.031708134932653e-15
4506,"[3.64394738e-01 3.36536354e-16 0.00000000e+00 6.35605262e-01
 0.00000000e+00]",Bayesian,5.0,50,27.74350552334001,0.08386416317618275
4507,"[0.00000000e+00 0.00000000e+00 1.42247325e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100,28.680000000000003,0.0618937320238173
4508,"[2.25759235e-01 1.76941795e-16 2.08166817e-17 7.74240765e-01
 0.00000000e+00]",Bayesian,5.0,200,28.099798766050004,0.028409961976182705
4509,"[5.81006516e-15 0.00000000e+00 5.15773999e-01 4.84226001e-01
 0.00000000e+00]",Bayesian,0.1,50,28.793470279780152,0.1294383080495941
4510,"[1.53923544e-13 0.00000000e+00 5.90276859e-01 4.09723141e-01
 0.00000000e+00]",Bayesian,0.1,100,28.80986090898402,0.09963716404956446
4511,"[1.90926489e-11 2.20066132e-11 1.58104159e-01 8.41895841e-01
 2.68700631e-11]",Bayesian,0.1,200,28.714782916683014,0.001010428763998623
4512,"[5.27355937e-16 0.00000000e+00 1.99840144e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.68000000000007,1.593170039532653e-15
4513,[0.         0.         0.05058297 0.94941703 0.        ],Bayesian,1.0,100,28.6911282534,0.02023318800000117
4514,"[0.00000000e+00 1.94289029e-16 0.00000000e+00 1.00000000e+00
 4.82947016e-15]",Bayesian,1.0,200,28.68000000000012,2.0927704020564143e-15
4515,"[5.53205143e-01 7.59808882e-16 0.00000000e+00 4.46794857e-01
 6.61797006e-16]",Bayesian,5.0,50,27.25826278249004,0.11682421077618296
4516,"[2.27407925e-01 6.54858112e-17 0.00000000e+00 7.72592075e-01
 0.00000000e+00]",Bayesian,5.0,100,28.095561632750005,0.029069437976182687
4517,"[2.31556613e-01 2.94902991e-16 1.24900090e-16 7.68443387e-01
 0.00000000e+00]",Bayesian,5.0,200,28.084899504590012,0.030728913176182752
4518,"[8.91148266e-13 1.82667770e-12 1.00000000e+00 0.00000000e+00
 3.13227222e-12]",Bayesian,0.1,50,28.900000000145052,0.0642520923632525
4519,"[0.00000000e+00 5.12404273e-14 1.66222429e-01 8.33777571e-01
 2.36457229e-13]",Bayesian,0.1,100,28.71656893438701,0.002236879249537702
4520,"[1.27129554e-11 1.31963916e-11 1.72971497e-01 8.27028503e-01
 1.62058046e-11]",Bayesian,0.1,200,28.71805373039647,0.0049365064440005345
4521,"[0.00000000e+00 0.00000000e+00 2.27595720e-15 1.00000000e+00
 1.07414078e-14]",Bayesian,1.0,50,28.680000000000327,3.691491564132654e-15
4522,"[0.00000000e+00 8.32667268e-16 2.44249065e-15 1.00000000e+00
 2.22044605e-16]",Bayesian,1.0,100,28.6800000000001,1.787459068732653e-15
4523,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.44249065e-15]",Bayesian,1.0,200,28.68000000000006,1.654232305856414e-15
4524,"[0.00000000e+00 2.48065457e-16 0.00000000e+00 1.00000000e+00
 1.94289029e-16]",Bayesian,5.0,50,28.68000000000001,0.0618937320238173
4525,[0.15704988 0.         0.         0.84295012 0.        ],Bayesian,5.0,100,28.276381808400004,0.0009262199761826892
4526,"[0.00000000e+00 2.93168267e-16 0.00000000e+00 1.00000000e+00
 2.41560244e-16]",Bayesian,5.0,200,28.680000000000014,0.0618937320238173
4527,"[7.46983270e-12 2.25024539e-11 3.07566275e-01 6.92433725e-01
 3.21445858e-11]",Bayesian,0.1,50,28.747664582039576,0.058774417648841504
4528,[0.         0.         0.42253264 0.57746736 0.        ],Bayesian,0.1,100,28.7729571808,0.10476096364959527
4529,"[2.42139642e-13 8.74744721e-13 0.00000000e+00 1.00000000e+00
 1.53907442e-12]",Bayesian,0.1,200,28.68000000006559,0.06425209236389132
4530,"[1.72084569e-15 4.16333634e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000057,1.515454428932653e-15
4531,"[4.44089210e-16 1.38777878e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.680000000000014,1.4599432773677218e-15
4532,"[1.44328993e-15 0.00000000e+00 2.77555756e-16 1.00000000e+00
 1.63757896e-15]",Bayesian,1.0,200,28.680000000000085,1.759703493332653e-15
4533,"[2.08363953e-01 0.00000000e+00 0.00000000e+00 7.91636047e-01
 7.80625564e-17]",Bayesian,5.0,50,28.144504640790004,0.021451849176182695
4534,"[2.72580202e-01 1.39577477e-16 9.28889422e-02 6.34530855e-01
 0.00000000e+00]",Bayesian,5.0,100,27.9999044252,0.0842939258161827
4535,"[2.63677968e-16 5.13478149e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200,28.68000000000002,0.06189373202381726
4536,"[2.97931424e-13 0.00000000e+00 7.89140385e-01 2.10859615e-01
 0.00000000e+00]",Bayesian,0.1,50,28.85361088470778,0.020091753649535655
4537,"[2.29607936e-11 3.94835106e-11 2.87513690e-01 7.12486310e-01
 5.27737714e-11]",Bayesian,0.1,100,28.743253014670955,0.050753383658621115
4538,"[2.29440365e-11 2.43160357e-11 1.84083549e-01 8.15916451e-01
 3.02567906e-11]",Bayesian,0.1,200,28.720498382723687,0.009381327251080877
4539,"[4.98044036e-15 9.22632741e-15 2.70927280e-01 7.29072720e-01
 1.81147103e-14]",Bayesian,1.0,50,28.7396040016008,0.10837091200000756
4540,"[3.05311332e-16 0.00000000e+00 1.41553436e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.68000000000005,1.432187702532653e-15
4541,"[0.00000000e+00 1.49880108e-15 3.60822483e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000005,1.4599432767326531e-15
4542,"[0.00000000e+00 1.96023753e-16 0.00000000e+00 1.00000000e+00
 8.22258928e-16]",Bayesian,5.0,50,28.680000000000025,0.06189373202381719
4543,"[3.68141058e-01 4.23272528e-16 0.00000000e+00 6.31858942e-01
 2.36789754e-16]",Bayesian,5.0,100,27.733877480940016,0.08536269117618281
4544,"[2.83062969e-01 0.00000000e+00 3.64291930e-17 7.16937031e-01
 0.00000000e+00]",Bayesian,5.0,200,27.952528169669996,0.0513314555761827
4545,"[0.00000000e+00 0.00000000e+00 9.43189971e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50,28.680000000027256,0.06425209236423388
4546,[0.        0.        0.1758812 0.8241188 0.       ],Bayesian,0.1,100,28.718693864,0.006100387649595241
4547,"[1.62125340e-11 3.19325644e-11 3.10703055e-01 6.89296945e-01
 4.47421466e-11]",Bayesian,0.1,200,28.748354674410194,0.06002912965415494
4548,"[3.05311332e-16 0.00000000e+00 2.77555756e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000017,1.493249968043961e-15
4549,"[0.00000000e+00 0.00000000e+00 2.74780199e-15 1.00000000e+00
 9.99200722e-15]",Bayesian,1.0,100,28.68000000000032,3.635980406132654e-15
4550,"[0.00000000e+00 1.94289029e-15 0.00000000e+00 1.00000000e+00
 1.36002321e-15]",Bayesian,1.0,200,28.68000000000008,1.748601264132653e-15
4551,"[0.00000000e+00 3.46944695e-17 6.93889390e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50,28.680000000000003,0.061893732023817316
4552,"[2.58529878e-01 3.46944695e-17 3.12250226e-17 7.41470122e-01
 0.00000000e+00]",Bayesian,5.0,100,28.01557821354,0.041518219176182695
4553,"[5.98798441e-01 0.00000000e+00 1.01481323e-16 4.01201559e-01
 0.00000000e+00]",Bayesian,5.0,200,27.141088006630003,0.0985868915761827
4554,"[1.97947214e-12 4.28396207e-12 1.00000000e+00 0.00000000e+00
 7.73539566e-12]",Bayesian,0.1,50,28.900000000346726,0.06425209236162274
4555,[0.         0.         0.42154834 0.57845166 0.        ],Bayesian,0.1,100,28.7727406348,0.10436724364959526
4556,"[4.06720756e-11 4.40098295e-11 1.86377361e-01 8.13622639e-01
 5.34226344e-11]",Bayesian,0.1,200,28.721003022883195,0.010298852063198409
4557,"[2.83106871e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000074,1.7319479178564141e-15
4558,[0.         0.         0.01939819 0.98060181 0.        ],Bayesian,1.0,100,28.684267601800002,0.007759276000001163
4559,[1.2490009e-15 0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,200,28.68000000000003,1.415534355856414e-15
4560,"[6.81361326e-01 0.00000000e+00 9.54097912e-18 3.18638674e-01
 0.00000000e+00]",Bayesian,5.0,50,26.928901392180002,0.06556173757618271
4561,"[6.83763156e-01 1.28369537e-16 9.02056208e-17 3.16236844e-01
 0.00000000e+00]",Bayesian,5.0,100,26.922728689080007,0.06460100557618273
4562,"[4.71523520e-02 0.00000000e+00 4.85722573e-17 9.52847648e-01
 1.38777878e-16]",Bayesian,5.0,200,28.558818455360004,0.04303279122381734
4563,"[1.03907079e-13 0.00000000e+00 4.23548817e-01 5.76451183e-01
 0.00000000e+00]",Bayesian,0.1,50,28.773180739742713,0.10516743444957449
4564,"[1.29468228e-11 1.38758004e-11 1.43031318e-01 8.56968682e-01
 1.66442542e-11]",Bayesian,0.1,100,28.71146689105031,0.007039565159098125
4565,"[4.08956108e-13 4.94807151e-12 4.71776998e-01 5.28223002e-01
 9.41022607e-12]",Bayesian,0.1,200,28.783790939922962,0.1244587068466418
4566,"[8.60422844e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.68000000000002,1.4044321261677218e-15
4567,"[0.00000000e+00 0.00000000e+00 1.13797860e-15 1.00000000e+00
 1.49880108e-15]",Bayesian,1.0,100,28.680000000000067,1.615374500132653e-15
4568,[0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00 7.8548279e-15],Bayesian,1.0,200,28.680000000000188,2.7366997558564143e-15
4569,"[3.64362065e-01 1.47451495e-16 1.56125113e-17 6.35637935e-01
 0.00000000e+00]",Bayesian,5.0,50,27.743589492950004,0.08385109397618272
4570,"[1.04083409e-16 4.31946146e-16 0.00000000e+00 1.00000000e+00
 2.60208521e-16]",Bayesian,5.0,100,28.68000000000002,0.061893732023817295
4571,"[9.72776425e-02 5.06539255e-16 0.00000000e+00 9.02722357e-01
 0.00000000e+00]",Bayesian,5.0,200,28.429996444435012,0.02298267492381742
4572,"[2.31703217e-11 4.36199349e-11 2.74580251e-01 7.25419749e-01
 5.65463775e-11]",Bayesian,0.1,50,28.74040765829192,0.04558000806024484
4573,"[0.00000000e+00 1.50492487e-13 6.73999568e-01 3.26000432e-01
 1.12651031e-13]",Bayesian,0.1,100,28.828279904966518,0.06614808044954262
4574,"[1.45838897e-12 4.28992952e-12 0.00000000e+00 1.00000000e+00
 8.27782287e-12]",Bayesian,0.1,200,28.680000000346382,0.06425209236161727
4575,"[2.33146835e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.68000000000006,1.632027845856414e-15
