,w_star,method,gamma,N,expected_return,wasserstein_distance
40,"[1.11022302e-15 0.00000000e+00 4.44089210e-16 1.00000000e+00
 1.74860126e-15]",Bayesian,1.0,100,28.680000000000085,1.748601262132653e-15
41,"[5.55111512e-17 5.55111512e-16 0.00000000e+00 1.00000000e+00
 3.63598041e-15]",Bayesian,1.0,200,28.680000000000103,1.9373391787726533e-15
42,"[2.17272184e-01 0.00000000e+00 2.25514052e-16 7.82727816e-01
 0.00000000e+00]",Bayesian,5.0,50,28.121610487120005,0.025015141576182738
43,[0.46134677 0.         0.         0.53865323 0.        ],Bayesian,5.0,100,27.4943388011,0.12264497597618271
44,"[3.50651229e-01 0.00000000e+00 0.00000000e+00 6.49348771e-01
 3.01841885e-16]",Bayesian,5.0,200,27.77882634147001,0.07836675957618275
45,"[0.00000000e+00 0.00000000e+00 2.08486006e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50,28.680000000060254,0.06425209236400553
46,"[2.82305583e-13 6.77064464e-13 2.00830379e-01 7.99169621e-01
 1.33281365e-12]",Bayesian,0.1,100,28.724182683436666,0.016080059249136816
47,"[4.20196539e-11 4.78480213e-11 1.09938306e-01 8.90061694e-01
 6.14273890e-11]",Bayesian,0.1,200,28.7041864311087,0.020276769980663766
48,"[0.00000000e+00 1.41553436e-15 2.91433544e-15 1.00000000e+00
 4.27435864e-15]",Bayesian,1.0,50,28.680000000000224,2.8088642521326528e-15
49,"[0.00000000e+00 0.00000000e+00 1.85962357e-15 1.00000000e+00
 5.21804822e-15]",Bayesian,1.0,100,28.68000000000018,2.5035529221326532e-15
50,"[1.24900090e-15 0.00000000e+00 2.22044605e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000004,1.382227665132653e-15
51,"[0.00000000e+00 0.00000000e+00 1.94289029e-16 1.00000000e+00
 5.55111512e-17]",Bayesian,5.0,50,28.680000000000007,0.06189373202381729
52,"[0.00000000e+00 1.94289029e-16 3.46944695e-17 1.00000000e+00
 1.52655666e-16]",Bayesian,5.0,100,28.68000000000001,0.06189373202381731
53,"[0.00000000e+00 1.47451495e-16 5.03069808e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200,28.680000000000003,0.0618937320238173
