,w_star,method,gamma,N,expected_return
47,"[0.00000000e+00 1.87350135e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000004
48,"[3.22213556e-16 0.00000000e+00 4.71844785e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868000000000002
49,"[7.21644966e-16 4.16333634e-16 4.22405166e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000042
50,"[3.46292633e-16 4.83249205e-16 1.00000000e+00 3.05311332e-16
 1.31727666e-16]",SAA,0.1,200,0.028900000000000033
51,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 4.91794105e-16
 6.82613688e-16]",SAA,0.1,50,0.02890000000000003
52,"[0.00000000e+00 0.00000000e+00 6.24500451e-17 1.00000000e+00
 2.22044605e-16]",SAA,0.1,100,0.02868000000000001
53,"[5.81788371e-16 1.84829582e-16 1.00000000e+00 0.00000000e+00
 3.65944294e-16]",SAA,0.1,200,0.02890000000000003
54,"[1.45716772e-16 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028900000000000002
55,"[1.90819582e-16 1.04083409e-17 1.00000000e+00 0.00000000e+00
 9.71445147e-17]",SAA,0.1,100,0.02890000000000001
56,"[0.00000000e+00 2.60208521e-16 1.45716772e-16 1.00000000e+00
 1.45716772e-16]",SAA,0.1,200,0.028680000000000015
57,"[0.00000000e+00 3.59087760e-16 1.00613962e-16 1.00000000e+00
 2.39391840e-16]",SAA,0.1,50,0.028680000000000018
58,"[4.92849585e-01 2.08166817e-16 0.00000000e+00 5.07150415e-01
 0.00000000e+00]",SAA,0.1,100,0.027413376566550005
59,"[7.63278329e-17 1.47451495e-16 4.30211422e-16 1.00000000e+00
 4.44089210e-16]",SAA,0.1,200,0.02868000000000003
60,"[0.00000000e+00 4.16238694e-17 1.00000000e+00 0.00000000e+00
 3.40159566e-16]",SAA,0.1,50,0.028900000000000006
61,[0. 0. 0. 1. 0.],SAA,0.1,100,0.02868
62,"[0.00000000e+00 0.00000000e+00 4.30211422e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000015
63,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 4.16333634e-17
 0.00000000e+00]",SAA,0.1,50,0.0289
64,[0.0000000e+00 9.6697115e-17 0.0000000e+00 1.0000000e+00 0.0000000e+00],SAA,0.1,100,0.028680000000000004
65,"[2.97904098e-16 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.98156593e-16]",SAA,0.1,200,0.028900000000000012
66,"[5.27355937e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000015
67,"[0.00000000e+00 0.00000000e+00 3.33066907e-16 1.00000000e+00
 6.71029078e-17]",SAA,0.1,100,0.02868000000000001
68,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 2.91433544e-16
 6.82410528e-17]",SAA,0.1,200,0.028900000000000006
69,"[2.95355596e-16 2.68522255e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000015
70,"[0.00000000e+00 0.00000000e+00 5.55111512e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000018
71,"[0.00000000e+00 3.28952889e-16 0.00000000e+00 1.00000000e+00
 1.33190441e-16]",SAA,0.1,200,0.02868000000000001
72,"[2.39391840e-16 1.80411242e-16 1.00000000e+00 2.79290480e-16
 5.65519853e-16]",SAA,0.1,50,0.02890000000000003
73,"[2.73078757e-16 7.65686317e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.02868000000000001
74,"[1.52655666e-16 2.35922393e-16 7.63278329e-17 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.02868000000000001
75,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 1.94289029e-16
 0.00000000e+00]",SAA,0.1,50,0.028900000000000006
76,[0. 0. 1. 0. 0.],SAA,0.1,100,0.0289
77,"[0.00000000e+00 0.00000000e+00 9.15933995e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.02868000000000003
78,"[2.98649520e-16 8.93423368e-17 1.00000000e+00 5.86336535e-16
 1.48146081e-16]",SAA,0.1,50,0.02890000000000003
79,"[3.40339306e-18 0.00000000e+00 1.00000000e+00 9.36750677e-17
 1.27518690e-16]",SAA,0.1,100,0.028900000000000006
80,"[1.11022302e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000004
81,"[0.00000000e+00 6.93889390e-17 6.24500451e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868000000000002
82,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.31925411e-16]",SAA,0.1,100,0.028900000000000002
83,"[6.20898869e-16 4.16294833e-16 1.00000000e+00 0.00000000e+00
 2.62061091e-16]",SAA,0.1,200,0.028900000000000033
84,"[1.88017257e-16 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.47830666e-16]",SAA,0.1,50,0.02890000000000001
85,"[1.53775195e-16 0.00000000e+00 1.00000000e+00 1.52655666e-16
 0.00000000e+00]",SAA,0.1,100,0.028900000000000006
86,"[2.63034529e-16 1.81146357e-16 1.00000000e+00 1.11022302e-16
 3.47681428e-16]",SAA,0.1,200,0.02890000000000002
87,"[4.32872372e-17 6.71127385e-17 1.00000000e+00 7.63278329e-17
 2.64606408e-16]",SAA,0.1,50,0.028900000000000012
88,"[4.94396191e-17 0.00000000e+00 1.37043155e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000008
89,"[0.00000000e+00 1.94289029e-16 2.56739074e-16 1.00000000e+00
 1.24900090e-16]",SAA,0.1,200,0.028680000000000018
90,"[2.77555756e-17 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.0289
91,"[0.00000000e+00 8.76768714e-17 1.00000000e+00 1.80411242e-16
 0.00000000e+00]",SAA,0.1,100,0.028900000000000006
92,"[0.00000000e+00 1.95616405e-16 7.59386177e-01 2.40613823e-01
 0.00000000e+00]",SAA,0.1,200,0.028847064958940002
93,"[5.55111512e-16 2.49800181e-16 1.00000000e+00 5.10008702e-16
 1.38777878e-16]",SAA,0.1,50,0.028900000000000037
94,"[6.86950496e-16 1.14491749e-16 6.59194921e-17 1.00000000e+00
 2.70616862e-16]",SAA,0.1,100,0.028680000000000032
95,"[8.32667268e-17 2.55871713e-17 0.00000000e+00 1.00000000e+00
 2.63677968e-16]",SAA,0.1,200,0.02868000000000001
96,"[0.00000000e+00 0.00000000e+00 2.22044605e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.028680000000000008
97,"[7.59203408e-17 0.00000000e+00 9.93136183e-01 6.86381660e-03
 2.54694817e-17]",SAA,0.1,100,0.028898489948788
98,"[5.36303940e-16 0.00000000e+00 2.93262444e-01 7.06737556e-01
 0.00000000e+00]",SAA,0.1,200,0.02874451773768001
99,"[8.65745056e-17 0.00000000e+00 1.00000000e+00 4.44089210e-16
 1.88128529e-16]",SAA,0.1,50,0.02890000000000002
100,"[0.00000000e+00 7.75370180e-16 3.46944695e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028680000000000032
101,"[1.79668056e-16 0.00000000e+00 1.00000000e+00 2.49800181e-16
 0.00000000e+00]",SAA,0.1,200,0.02890000000000001
102,"[2.22044605e-16 6.59194921e-17 1.66533454e-16 1.00000000e+00
 6.59194921e-17]",SAA,0.1,50,0.028680000000000015
103,"[8.15012443e-17 4.63880058e-16 8.39574657e-01 1.60425343e-01
 2.75311221e-16]",SAA,0.1,100,0.028864706424540018
104,[0.         0.         0.93544927 0.06455073 0.        ],SAA,0.1,200,0.028885798839399998
105,"[0.00000000e+00 4.51028104e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,0.1,50,0.02868
106,"[1.12545957e-16 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00]",SAA,0.1,100,0.028900000000000002
107,"[0.00000000e+00 2.67381017e-16 3.33066907e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.028680000000000018
108,[0. 0. 1. 0. 0.],SAA,0.1,50,0.0289
109,[0. 0. 1. 0. 0.],SAA,0.1,100,0.0289
110,"[1.49809286e-16 1.79661255e-16 1.52147831e-01 8.47852169e-01
 1.24713268e-16]",SAA,0.1,200,0.028713472522820013
111,[0. 0. 0. 1. 0.],SAA,0.1,50,0.02868
112,"[1.62331448e-16 3.61933539e-16 0.00000000e+00 1.00000000e+00
 1.38691411e-16]",SAA,0.1,100,0.028680000000000018
113,"[0.00000000e+00 2.26091537e-16 1.80411242e-16 1.00000000e+00
 0.00000000e+00]",SAA,0.1,200,0.02868000000000001
114,[0. 0. 1. 0. 0.],SAA,0.1,50,0.0289
115,"[3.74700271e-16 0.00000000e+00 4.17634677e-16 1.00000000e+00
 2.81025203e-16]",SAA,0.1,100,0.02868000000000003
116,[0. 0. 0. 1. 0.],SAA,0.1,200,0.02868
