,method,N,w_star
440,SAA,20,-0.2044537348
441,Bayes,20,-0.2046344687
442,SAA,50,-0.1969992221
443,Bayes,50,-0.1971452591
444,SAA,10,-0.1744843125
445,Bayes,10,-0.1774409462
446,SAA,20,-0.206478414
447,Bayes,20,-0.2079304356
448,SAA,50,-0.1957323863
449,Bayes,50,-0.1949852237
450,SAA,10,-0.1959990197
451,Bayes,10,-0.1995337631
452,SAA,20,-0.2004933373
453,Bayes,20,-0.1993904752
454,SAA,50,-0.1947444187
455,Bayes,50,-0.1951443115
456,SAA,10,-0.195415857
457,Bayes,10,-0.1961370919
458,SAA,20,-0.1867554684
459,Bayes,20,-0.1857557666
460,SAA,50,-0.2022262797
461,Bayes,50,-0.2028333156
462,SAA,10,-0.2071518732
463,Bayes,10,-0.2003950838
464,SAA,20,-0.2053209032
465,Bayes,20,-0.2051157979
466,SAA,50,-0.1983045803
467,Bayes,50,-0.19706069
468,SAA,10,-0.2097368676
469,Bayes,10,-0.2110209382
470,SAA,20,-0.1912082037
471,Bayes,20,-0.1943534636
472,SAA,50,-0.2082327328
473,Bayes,50,-0.2058563524
474,SAA,10,-0.1986989396
475,Bayes,10,-0.1955890774
476,SAA,20,-0.1912945062
477,Bayes,20,-0.1901088777
478,SAA,50,-0.1965656532
479,Bayes,50,-0.1959346966
480,SAA,10,-0.1940008911
481,Bayes,10,-0.1941224939
482,SAA,20,-0.1971077674
483,Bayes,20,-0.2024418227
484,SAA,50,-0.1919485725
485,Bayes,50,-0.1910565045
486,SAA,10,-0.1965371746
487,Bayes,10,-0.1954255576
488,SAA,20,-0.2061507505
489,Bayes,20,-0.2056727773
490,SAA,50,-0.2022606186
491,Bayes,50,-0.2004766727
492,SAA,10,-0.2085017387
493,Bayes,10,-0.207125312
494,SAA,20,-0.1882409682
495,Bayes,20,-0.1893703709
496,SAA,50,-0.1967958963
497,Bayes,50,-0.2001644086
498,SAA,10,-0.1906553326
499,Bayes,10,-0.1899419871
500,SAA,20,-0.2014135004
501,Bayes,20,-0.2002136655
502,SAA,50,-0.1941589547
503,Bayes,50,-0.1949675419
504,SAA,10,-0.198158986
505,Bayes,10,-0.2005136654
506,SAA,20,-0.200252425
507,Bayes,20,-0.1989193335
508,SAA,50,-0.1960272425
509,Bayes,50,-0.1960627593
510,SAA,10,-0.1993266205
511,Bayes,10,-0.1997182694
512,SAA,20,-0.2098173044
513,Bayes,20,-0.2116559958
514,SAA,50,-0.2005371024
515,Bayes,50,-0.2008809993
516,SAA,10,-0.1975056775
517,Bayes,10,-0.1959461173
518,SAA,20,-0.2135242857
519,Bayes,20,-0.2148825933
520,SAA,50,-0.2057822911
521,Bayes,50,-0.2037279257
522,SAA,10,-0.203218623
523,Bayes,10,-0.2057186769
