,w_star,method,function,N,expected_cost
101,-0.16877330549532338,MLE,0,25,-0.11500260772963225
102,-0.16163655992165865,Beta_Bayesian,0,25,-0.11359598866242528
103,-0.1933109205084432,SAA,0,25,-0.1175101121446675
104,-0.11901632626479333,Bagging,0,50,-0.0988416786040093
105,-0.1224442529314884,MLE,0,50,-0.10043090584196562
106,-0.14285805686564787,Beta_Bayesian,0,50,-0.10843669805127272
107,-0.12026789080824195,SAA,0,50,-0.09943008011517497
108,-0.17296209430176887,Bagging,0,10,-0.11568605426836923
109,-0.5935680136076329,MLE,0,10,0.35103539291082353
110,-0.15932517594203746,Beta_Bayesian,0,10,-0.11307499231515099
111,-0.17457956674290856,SAA,0,10,-0.11592182310686074
112,-0.21610571935830836,Bagging,0,25,-0.11660673867003188
113,-0.2917402577109066,MLE,0,25,-0.0913030519857323
114,-0.22353988830543411,Beta_Bayesian,0,25,-0.11563877290394689
115,-0.22509789414679204,SAA,0,25,-0.11539393540530514
116,-0.14325982690477973,Bagging,0,50,-0.10856920432045034
117,-0.14555858777160027,MLE,0,50,-0.1093087495195194
118,-0.17767328976878624,Beta_Bayesian,0,50,-0.11632910465373329
119,-0.14980606452093526,SAA,0,50,-0.11059191390324993
120,0.17402331327360762,Bagging,0,10,0.297321551297483
121,0.20475501243233818,MLE,0,10,0.3686811061718678
122,0.10983888251458312,Beta_Bayesian,0,10,0.16653787328382347
123,0.153484326678625,SAA,0,10,0.25278487799071897
124,-0.18588893921493344,Bagging,0,25,-0.11713228069788847
125,-0.08021478257944747,MLE,0,25,-0.07594322364723809
126,-0.17699804753463266,Beta_Bayesian,0,25,-0.11624510365830315
127,-0.18297833725985288,SAA,0,25,-0.11689400035771948
128,-0.3016331878597224,Bagging,0,50,-0.08545815264134805
129,-0.4525344231394094,MLE,0,50,0.07639840148076663
130,-0.2900018063117489,Beta_Bayesian,0,50,-0.09226957007807428
131,-0.3083220866303557,SAA,0,50,-0.08117391630128196
132,0.008258806989998972,Bagging,0,10,0.010008349789398796
133,0.1632272203916602,MLE,0,10,0.2735961740770242
134,-0.01973001541674549,Beta_Bayesian,0,10,-0.022255012560467725
135,0.007081622805192111,SAA,0,10,0.008556813249587913
136,-0.2592325233861915,Bagging,0,25,-0.10637922101512172
137,-0.1497542672205841,MLE,0,25,-0.11057691708358346
138,-0.20031997064514342,Beta_Bayesian,0,25,-0.11756385581587445
139,-0.2390523137235954,SAA,0,25,-0.11255243205231323
140,-0.1428668141992903,Bagging,0,50,-0.10843959658703245
141,-0.1555607094276941,MLE,0,50,-0.1121579328287379
142,-0.1543142974832126,Beta_Bayesian,0,50,-0.11183558155482119
143,-0.14708608691020078,SAA,0,50,-0.10978265641771588
144,-0.07842042298068591,Bagging,0,10,-0.07466603552067182
145,-0.033796634917391204,MLE,0,10,-0.03669740006940651
146,-0.062206374122234294,Beta_Bayesian,0,10,-0.06225033033363542
147,-0.09584164117751741,SAA,0,10,-0.08625039651305542
148,-0.18135594578943304,Bagging,0,25,-0.11673914562790498
149,-0.12575301635176878,MLE,0,25,-0.10189810029143832
150,-0.20522824515935187,Beta_Bayesian,0,25,-0.11742622866527068
151,-0.17514453178276898,SAA,0,25,-0.11600048011695392
152,0.0325881980515069,Bagging,0,50,0.04186726995206745
153,0.03704355870584714,MLE,0,50,0.04808574986848816
154,0.014692801744295424,Beta_Bayesian,0,50,0.01808856780811185
155,0.033818305971770324,SAA,0,50,0.04357228086464128
156,0.1733106090458242,Bagging,0,10,0.29573378752830204
157,0.19286603225098728,MLE,0,10,0.3404034540643268
158,0.12514445968796278,Beta_Bayesian,0,10,0.19548330054840957
159,0.18520494470295176,SAA,0,10,0.32263050880527516
160,-0.2699309056887476,Bagging,0,25,-0.10211671860004519
161,-0.25399563099903383,MLE,0,25,-0.10821568652602759
162,-0.2547923206989393,Beta_Bayesian,0,25,-0.10794690379843565
163,-0.27137610046747723,SAA,0,25,-0.1014883328225553
164,-0.21909288172122898,Bagging,0,50,-0.11625759757985833
165,-0.2198032621873375,MLE,0,50,-0.1161666977403607
166,-0.2158889977396678,Beta_Bayesian,0,50,-0.11662998873946574
167,-0.21975110439032627,SAA,0,50,-0.11617347468583236
168,-0.15323339492997473,Bagging,0,10,-0.1115484974506614
169,-0.24002389846652347,MLE,0,10,-0.11231113908630129
170,-0.10266039852180597,Beta_Bayesian,0,10,-0.09028933316507355
171,-0.14911079938683305,SAA,0,10,-0.1103892740208309
172,-0.2261520894916643,Bagging,0,25,-0.11522001966537246
173,-0.24583150249247998,MLE,0,25,-0.11075085539327673
174,-0.24773502608240622,Beta_Bayesian,0,25,-0.11019547029422061
175,-0.2452793353472066,SAA,0,25,-0.11090789666317294
176,0.017553208129489493,Bagging,0,50,0.02176050552084851
177,0.02320362113073406,MLE,0,50,0.029158097705799104
178,0.028755943672111147,Beta_Bayesian,0,50,0.0366136404991931
179,0.020355566820489248,SAA,0,50,0.025405474896019915
180,-0.2617195059858189,Bagging,0,10,-0.10544953384767514
181,-0.11272283151943714,MLE,0,10,-0.09574062298507822
182,-0.28472695943362963,Beta_Bayesian,0,10,-0.09509135579575079
183,-0.2738313712725057,SAA,0,10,-0.10039206102285798
184,-0.39748201554758367,Bagging,0,25,0.0015387611496289345
185,-0.3768786849459581,MLE,0,25,-0.02180694088657535
186,-0.40390558739544613,Beta_Bayesian,0,25,0.009337512638856136
187,-0.4028145363409266,SAA,0,25,0.007995453260352668
188,-0.2187001133523264,Bagging,0,50,-0.11630655774257223
189,-0.2461279103261885,MLE,0,50,-0.11066580072108882
190,-0.261931508623283,Beta_Bayesian,0,50,-0.10536856829337021
191,-0.22391862722008968,SAA,0,50,-0.11558059308073318
192,-0.013925648778547503,Bagging,0,10,-0.01595000544867008
193,-0.09661303796951512,MLE,0,10,-0.08672129331643204
194,-0.02324527953748571,Beta_Bayesian,0,10,-0.025975315756671603
195,-0.033572336849775175,SAA,0,10,-0.03647641307666514
196,-0.03593509419854887,Bagging,0,25,-0.03878915238248969
197,-0.0800060281735787,MLE,0,25,-0.0757956283429586
198,-0.021941972879249497,Beta_Bayesian,0,25,-0.024604627386559597
199,-0.05012723087579077,SAA,0,25,-0.05197687803907523
200,-0.18757749394767317,Bagging,0,50,-0.11724724764781749
201,-0.19122365815427167,MLE,0,50,-0.11743721909055835
202,-0.1782460289440116,Beta_Bayesian,0,50,-0.11639821249711552
203,-0.19470836640869152,SAA,0,50,-0.11754432394166661
204,-0.47417967795729965,Bagging,0,10,0.11080561050080519
205,-0.508337562093384,MLE,0,10,0.1708140946250703
206,-0.43971097211422683,Beta_Bayesian,0,10,0.057338672520568595
207,-0.4824989250790779,SAA,0,10,0.1247767695047396
208,-0.14054578338575946,Bagging,0,25,-0.10765529235699407
209,-0.15884225612617614,MLE,0,25,-0.11296209676924635
210,-0.1281635100279474,Beta_Bayesian,0,25,-0.10292567050255705
211,-0.14456213974981358,SAA,0,25,-0.1089920657541172
212,-0.263144063765365,Bagging,0,50,-0.10490030786275409
213,-0.25845109945569655,MLE,0,50,-0.10666368143722721
214,-0.27427808544991583,Beta_Bayesian,0,50,-0.10018872010207425
215,-0.2636243577689345,SAA,0,50,-0.10471239338717994
216,0.10842041914924179,Bagging,0,10,0.16392639881948193
217,0.19106852595408064,MLE,0,10,0.3362018417538205
218,0.10894864172472167,Beta_Bayesian,0,10,0.16489747865758209
219,0.10244957894658316,SAA,0,10,0.15306592759481452
220,-0.2310514691949406,Bagging,0,25,-0.11432434732695404
221,-0.2197379617189734,MLE,0,25,-0.11617517976254121
222,-0.21667897666041339,Beta_Bayesian,0,25,-0.11654388226944713
223,-0.2291522561655532,SAA,0,25,-0.1146886215878185
224,-0.2878636768305087,Bagging,0,50,-0.09343346016896607
225,-0.24089927536446112,MLE,0,50,-0.11208889498871613
226,-0.3009499955962736,Beta_Bayesian,0,50,-0.08588064604318839
227,-0.2940010709558954,SAA,0,50,-0.09001902791375417
228,0.27979270443534865,Bagging,0,10,0.566700474258642
229,0.2797149378882039,MLE,0,10,0.5664777872203134
230,0.23747890917837872,Beta_Bayesian,0,10,0.4508883867383441
231,0.275430448228395,SAA,0,10,0.5542650121561852
232,-0.044474785554586845,Bagging,0,25,-0.04686910020904316
233,-0.0870119991095815,MLE,0,25,-0.08060636322640818
234,-0.05632706432803329,Beta_Bayesian,0,25,-0.057359125173547
235,-0.043036757066293695,SAA,0,25,-0.04553908867666802
236,-0.24519507979288768,Bagging,0,50,-0.11093169902899154
237,-0.24250934612717345,MLE,0,50,-0.11166813361838762
238,-0.2241953993645117,Beta_Bayesian,0,50,-0.11553753323543797
239,-0.24830783701712425,SAA,0,50,-0.11002409291681914
240,-0.213196061340988,Bagging,0,10,-0.11689541173915731
241,-0.32525453932498094,MLE,0,10,-0.06913027654724352
242,-0.16575920821390502,Beta_Bayesian,0,10,-0.1144457751945928
243,-0.23671632773655643,SAA,0,10,-0.11310942338737211
244,-0.39241448353241154,Bagging,0,25,-0.004439167311178349
245,-0.44304398825339275,MLE,0,25,0.06219781767367749
246,-0.34380652033637915,Beta_Bayesian,0,25,-0.05396223871273953
247,-0.3915200446318834,SAA,0,25,-0.005478316697520695
248,-0.24441245003912662,Bagging,0,50,-0.11115076070631458
249,-0.2658076178260854,MLE,0,50,-0.10384077137547966
250,-0.22164982396479593,Beta_Bayesian,0,50,-0.11591626578609143
251,-0.2405782287746972,SAA,0,50,-0.11217093678239412
252,-0.21460130189166002,Bagging,0,10,-0.11676232930557298
253,-0.33154824846454345,MLE,0,10,-0.06421572351318013
254,-0.20595896934406302,Beta_Bayesian,0,10,-0.11739339298066216
255,-0.23584514154092237,SAA,0,10,-0.11330877686637923
256,-0.24261136483272772,Bagging,0,25,-0.11164094962532617
257,-0.14876592171500305,MLE,0,25,-0.11028768218337896
258,-0.2367376423245687,Beta_Bayesian,0,25,-0.11310448897262938
259,-0.24533656060402506,SAA,0,25,-0.1108917061528239
260,-0.20699013463829435,Bagging,0,50,-0.11734161310126924
261,-0.3027550743925978,MLE,0,50,-0.0847582982753436
262,-0.21451661662043622,Beta_Bayesian,0,50,-0.11677068444971758
263,-0.21180547311677778,SAA,0,50,-0.1170154574772986
264,-0.2536670172945864,Bagging,0,10,-0.10832544439211494
265,-0.21861842904969517,MLE,0,10,-0.11631662389901096
266,-0.2723253780585418,Beta_Bayesian,0,10,-0.10106876642658617
267,-0.24900906930799263,SAA,0,10,-0.10981161671322165
268,-0.3129580166117028,Bagging,0,25,-0.07804729769872981
269,-0.3103060330811765,MLE,0,25,-0.07985164430430504
270,-0.30905444955927397,Beta_Bayesian,0,25,-0.08068855328593849
271,-0.3130043521685904,SAA,0,25,-0.07801539746778852
272,-0.25657662800934894,Bagging,0,50,-0.1073311254306435
273,-0.2830129995079321,MLE,0,50,-0.09597234975148781
274,-0.26154909759309497,Beta_Bayesian,0,50,-0.10551441896176864
275,-0.2632194109555386,SAA,0,50,-0.10487091978254841
276,-0.2623757604902705,Bagging,0,10,-0.10519803130364862
277,-0.304084119151536,MLE,0,10,-0.08391945457218389
278,-0.3070941042494561,Beta_Bayesian,0,10,-0.08198053115148014
279,-0.29630323634700606,SAA,0,10,-0.08868004291811571
280,-0.09690047022984899,Bagging,0,25,-0.08689584356620278
281,-0.1768007803256281,MLE,0,25,-0.1162200476545184
282,-0.06779218875452733,Beta_Bayesian,0,25,-0.06670547892036004
283,-0.10952590033534576,SAA,0,25,-0.09407445992564098
284,-0.2604408730641121,Bagging,0,50,-0.10593214347075279
285,-0.2772919081081976,MLE,0,50,-0.0987856013037149
286,-0.2407922523234616,Beta_Bayesian,0,50,-0.11211631280371395
287,-0.26038452682471047,SAA,0,50,-0.10595318551875398
288,-0.21384662758085313,Bagging,0,10,-0.11683527133531195
289,-0.15436598622754724,MLE,0,10,-0.1118491345039226
290,-0.21025393416506216,Beta_Bayesian,0,10,-0.11713572018950406
291,-0.21956157590617162,SAA,0,10,-0.11619796317438165
292,-0.07899390830237221,Bagging,0,25,-0.07507632838791838
293,-0.06047265175518466,MLE,0,25,-0.06082952067172909
294,-0.08144540904846533,Beta_Bayesian,0,25,-0.0768080041520569
295,-0.0833280711506421,SAA,0,25,-0.07811341833859463
296,-0.1640052891268163,Bagging,0,50,-0.1140966944185506
297,-0.1981920325531929,MLE,0,50,-0.11757866072858666
298,-0.18177209933160687,Beta_Bayesian,0,50,-0.11678037090348337
299,-0.16583804581138054,SAA,0,50,-0.11446103323129357
300,-0.19292638649112775,Bagging,0,10,-0.1174986449702239
301,-0.22270943828375087,MLE,0,10,-0.11576333337180462
302,-0.17495864799631483,Beta_Bayesian,0,10,-0.11597481166091002
303,-0.20871104375542027,SAA,0,10,-0.11724100722711421
304,-0.31668795469135175,Bagging,0,25,-0.07543821258351302
305,-0.35998692301442964,MLE,0,25,-0.03904933716594252
306,-0.2927866080924982,Beta_Bayesian,0,25,-0.09071258703989829
307,-0.30613084188772505,SAA,0,25,-0.08260693713728284
308,-0.1114443983269469,Bagging,0,50,-0.0950816834637913
309,-0.20348815378106755,MLE,0,50,-0.11749153876689397
310,-0.0829341173037711,Beta_Bayesian,0,50,-0.07784201296580323
311,-0.117757525434569,SAA,0,50,-0.09824040669963709
312,-0.07203158991056219,Bagging,0,10,-0.06996194761928834
313,-0.1854434698432074,MLE,0,10,-0.11709910208135821
314,-0.07210796050119322,Beta_Bayesian,0,10,-0.07001962363047247
315,-0.08493095124021018,SAA,0,10,-0.07920809529675478
316,-0.1799469417426407,Bagging,0,25,-0.11659186056053639
317,-0.22104994721953664,MLE,0,25,-0.11599986226108172
318,-0.18550870453951412,Beta_Bayesian,0,25,-0.11710403509106654
319,-0.18848172752481354,SAA,0,25,-0.11730178857717162
320,-0.16396996714367526,Bagging,0,50,-0.11408947495609915
321,-0.1692430006109678,MLE,0,50,-0.11508447761874879
322,-0.1910039811025675,Beta_Bayesian,0,50,-0.11742802889495481
323,-0.1659901305172854,SAA,0,50,-0.11449036210663707
324,-0.27253585872627295,Bagging,0,10,-0.10097500573130333
325,-0.2670826319313697,MLE,0,10,-0.10331853640189272
326,-0.24192089958280458,Beta_Bayesian,0,10,-0.11182371420464451
327,-0.2706942097310463,SAA,0,10,-0.10178638556446905
328,-0.23795457679524862,Bagging,0,25,-0.11281824864999776
329,-0.15353416216344964,MLE,0,25,-0.11162908326556503
330,-0.21438686594431505,Beta_Bayesian,0,25,-0.11678340243144057
331,-0.24484113140574004,SAA,0,25,-0.11103122544283156
332,-0.14037539969258714,Bagging,0,50,-0.10759644574983863
333,-0.14972215747192083,MLE,0,50,-0.11056761230805925
334,-0.14370413424664727,Beta_Bayesian,0,50,-0.108714613303111
335,-0.14649840595528288,SAA,0,50,-0.10960198317186844
336,-0.05025681581270811,Bagging,0,10,-0.05209173121975383
337,-0.19800999113072634,MLE,0,10,-0.11757866729395833
338,-0.03222873785010871,Beta_Bayesian,0,10,-0.03514633617957131
339,-0.08847481236559984,SAA,0,10,-0.08157370308550703
340,-0.21570775215923085,Bagging,0,25,-0.11664921679033166
341,-0.18783205223105331,MLE,0,25,-0.11726309744113766
342,-0.24726499891726783,Beta_Bayesian,0,25,-0.11033462748056493
343,-0.22286461808108934,SAA,0,25,-0.11574037169136621
344,-0.06367600419228973,Bagging,0,50,-0.06344060698355611
345,-0.14686953959621715,MLE,0,50,-0.1097163231640908
346,-0.062267422229387595,Beta_Bayesian,0,50,-0.0623000318151123
347,-0.07413227294394703,SAA,0,50,-0.07153566785908823
348,-0.29010223167531896,Bagging,0,10,-0.09221422997837168
349,-0.28272574130572886,MLE,0,10,-0.09611828111967939
350,-0.3467970360381785,Beta_Bayesian,0,10,-0.05132417352088582
351,-0.27710461585868895,SAA,0,10,-0.09887438349178337
352,-0.04037549653208151,Bagging,0,25,-0.043045040515305694
353,-0.15843467756036028,MLE,0,25,-0.11286572678273464
354,-0.050388350412088875,Beta_Bayesian,0,25,-0.052208209506325695
355,-0.03238641117154894,SAA,0,25,-0.035302982932275004
356,-0.3381114549871414,Bagging,0,50,-0.05883789530648597
357,-0.3661067472327007,MLE,0,50,-0.03300000090166859
358,-0.37574325513700485,Beta_Bayesian,0,50,-0.023019543601235957
359,-0.35487036365332086,SAA,0,50,-0.04393470345595301
360,-0.0706839770828416,Bagging,0,10,-0.06893846401870429
361,0.007132540650782811,MLE,0,10,0.008619426085971518
362,-0.08479429293785477,Beta_Bayesian,0,10,-0.07911536572933572
363,-0.07718951774204784,SAA,0,10,-0.07377874500751887
364,-0.18967891805654083,Bagging,0,25,-0.11736646183671826
365,-0.06731130161329735,MLE,0,25,-0.06632928723796146
366,-0.18569342925180476,Beta_Bayesian,0,25,-0.11711786551710646
367,-0.2028469969137871,SAA,0,25,-0.11751102845871367
368,-0.16494564829957784,Bagging,0,50,-0.11428614543739991
369,-0.2191997954929276,MLE,0,50,-0.11624411027694011
370,-0.17565114734050827,Beta_Bayesian,0,50,-0.1160693868302006
371,-0.16048063436364993,SAA,0,50,-0.11333943973750665
372,-0.4937865285443137,Bagging,0,10,0.1443960388625079
373,-0.6101493624459933,MLE,0,10,0.39115519032897045
374,-0.4787540104170963,Beta_Bayesian,0,10,0.11843631528845258
375,-0.5038288794397102,SAA,0,10,0.1624927138711988
376,-0.20892908632218735,Bagging,0,25,-0.11722699351815823
377,-0.20970105031380357,MLE,0,25,-0.11717508909056075
378,-0.18464028259772952,Beta_Bayesian,0,25,-0.1170362756122441
379,-0.19911836737473168,SAA,0,25,-0.11757555096250914
380,-0.12508712677191025,Bagging,0,50,-0.10160810002126289
381,-0.12135778691473309,MLE,0,50,-0.09993482965600844
382,-0.13997678465274951,Beta_Bayesian,0,50,-0.10745809369766805
383,-0.12101039489685894,SAA,0,50,-0.09977471932585999
384,-0.4362064537891359,Bagging,0,10,0.05230129489608051
385,-0.5519519493006767,MLE,0,10,0.25759907271577515
386,-0.37486541895387837,Beta_Bayesian,0,10,-0.023951749194431302
387,-0.439857896647909,SAA,0,10,0.05755146859289505
388,-0.2213027183058623,Bagging,0,25,-0.1159648999599327
389,-0.24775914034054045,MLE,0,25,-0.11018829527536465
390,-0.19595984418391774,Beta_Bayesian,0,25,-0.11756502933909456
391,-0.23515647704787598,SAA,0,25,-0.11346314527687902
392,-0.13964725428517474,Bagging,0,50,-0.10734300073833679
393,-0.15056999721585423,MLE,0,50,-0.11081122739218553
394,-0.15510697685971064,Beta_Bayesian,0,50,-0.11204166463040406
395,-0.14356573236804948,SAA,0,50,-0.1086694452146158
396,0.07246428985713256,Bagging,0,10,0.10175558120075191
397,-0.00789165020068419,MLE,0,10,-0.009181528172450378
398,0.10875975767377005,Beta_Bayesian,0,10,0.16455004379528787
399,0.05995615183510493,SAA,0,10,0.08194441662717339
400,-0.17378193297169622,Bagging,0,25,-0.1158075163790802
401,-0.17981850332233143,MLE,0,25,-0.11657784305719875
402,-0.1737745371605124,Beta_Bayesian,0,25,-0.11580643866612131
403,-0.18076320481525726,SAA,0,25,-0.11667863532060933
404,-0.10031295245675903,Bagging,0,50,-0.08893032597865608
405,-0.10187943836074825,MLE,0,50,-0.08984087735227142
406,-0.09067516352496939,Beta_Bayesian,0,50,-0.08300461669216942
407,-0.0961894618869869,SAA,0,50,-0.08646316403403603
408,0.033621203558587096,Bagging,0,10,0.04329847382238529
409,0.014508203703964107,MLE,0,10,0.017853281318700984
410,-0.0305347652031881,Beta_Bayesian,0,10,-0.033453994306873305
411,0.028833088096763573,SAA,0,10,0.036718529650181964
412,-0.2694367179323567,Bagging,0,25,-0.10232872490897213
413,-0.29255183031982135,MLE,0,25,-0.09084564515968839
414,-0.2885988537510441,Beta_Bayesian,0,25,-0.09303635726288004
415,-0.27203339978351027,SAA,0,25,-0.10119839146238019
416,-0.2957945383048008,Bagging,0,50,-0.0889786453775779
417,-0.31893878897656286,MLE,0,50,-0.07382342293430731
418,-0.29340830908086096,Beta_Bayesian,0,50,-0.09035864834767898
419,-0.30446242163358295,SAA,0,50,-0.08367874881735235
420,-0.2752785991835987,Bagging,0,10,-0.09972895528461959
421,-0.35613132910952194,MLE,0,10,-0.042745282253420724
422,-0.2649311224960997,Beta_Bayesian,0,10,-0.10419412609696599
423,-0.2971411925068093,SAA,0,10,-0.08818478696626525
424,-0.14498895667233072,Bagging,0,25,-0.10912844204116752
425,-0.18998643730986728,MLE,0,25,-0.11738168783274268
426,-0.1636459155170786,Beta_Bayesian,0,25,-0.1140228930899144
427,-0.1550641543894517,SAA,0,25,-0.11203062773335576
428,-0.2382479692599507,Bagging,0,50,-0.11274791085811273
429,-0.2779178595447114,MLE,0,50,-0.09848735614369393
430,-0.22936137196580433,Beta_Bayesian,0,50,-0.11464957156602863
431,-0.2453416201956954,SAA,0,50,-0.11089027371879263
432,-0.30726619540361777,Bagging,0,10,-0.08186803547921945
433,-0.32180886962884064,MLE,0,10,-0.0717203370619682
434,-0.37218384435853197,Beta_Bayesian,0,10,-0.026770810106473874
435,-0.3179484225509155,SAA,0,10,-0.07453767023122007
436,-0.13470644823567424,Bagging,0,25,-0.10553933495586423
437,-0.16017300684139887,MLE,0,25,-0.1132698151279586
438,-0.1161089817424469,Beta_Bayesian,0,25,-0.0974386115581983
439,-0.13052817598075706,SAA,0,25,-0.10389987189074994
440,-0.17446967904492086,Bagging,0,50,-0.11590630184248991
441,-0.26522506331860646,MLE,0,50,-0.10407613839188998
