,x_star,method,N,distribution,expected_cost
0,-0.2054584191619288,true,10,0,-0.10163162195163382
1,-0.2054584191619288,true,25,0,-0.10163162195163382
2,-0.2054584191619288,true,50,0,-0.10163162195163382
3,-0.0702696772849945,saa,10,0,-0.06303766640681496
4,-0.06284240745735875,mle,10,0,-0.05776419042683856
5,-0.12772571499124408,ks,10,0,-0.09273516893065518
6,-0.053631898365601116,mle_fixed,10,0,-0.05076842149226057
7,-0.1486167554601174,ks_fixed,10,0,-0.09866097900056704
8,-0.12152234486470852,saa,25,0,-0.09047523970046778
9,-0.12078489341341625,mle,25,0,-0.09019134461094346
10,-0.1705413391101561,ks,25,0,-0.10208563011965
11,-0.11448232342941964,mle_fixed,25,0,-0.08763297844292942
12,-0.16609296365615345,ks_fixed,25,0,-0.101622202923703
13,-0.18806872976581637,saa,50,0,-0.10276503443574181
14,-0.1761728123686535,mle,50,0,-0.10250333734474894
15,-0.271990460955121,ks,50,0,-0.0806745630258885
16,-0.18162842259987796,mle_fixed,50,0,-0.10272794556282679
17,-0.17773669716378884,ks_fixed,50,0,-0.10258583987140521
18,-0.5256652336466546,saa,10,0,0.24102823062424222
19,-0.500919989486199,mle,10,0,0.1927839604919259
20,-0.6586853294341827,ks,10,0,0.5628394038308142
21,-0.5262009909003778,mle_fixed,10,0,0.24211308200514012
22,-0.5889405787655166,ks_fixed,10,0,0.3809714059482619
23,-0.2542622123996515,saa,25,0,-0.08883432734279198
24,-0.25235578060363706,mle,25,0,-0.08960037237060894
25,-0.3317057338792211,ks,25,0,-0.03942327056462154
26,-0.2511820702280218,mle_fixed,25,0,-0.09006123271585313
27,-0.3307310984072924,ks_fixed,25,0,-0.04026696996981927
28,-0.1985528919642381,saa,50,0,-0.10229721868854758
29,-0.1911509071801499,mle,50,0,-0.10269541647211436
30,-0.241937567509601,ks,50,0,-0.09340441492090217
31,-0.17963699952410678,mle_fixed,50,0,-0.10266649405217952
32,-0.22663022505686553,ks_fixed,50,0,-0.09782142696170114
33,-0.2580972710102838,saa,10,0,-0.08722777375827245
34,-0.2401888421292389,mle,10,0,-0.09397959840614178
35,-0.37229085123769334,ks,10,0,0.0007304150161627419
36,-0.24061055342757154,mle_fixed,10,0,-0.09384255672230744
37,-0.34684530857711376,ks_fixed,10,0,-0.025591384541879373
38,-0.19773497235270826,saa,25,0,-0.10235725010480039
39,-0.22227365544962963,mle,25,0,-0.09882352688474322
40,-0.21527118874357265,ks,25,0,-0.10019746200368213
41,-0.22399306299457644,mle_fixed,25,0,-0.09844152574031753
42,-0.20962387388857945,ks_fixed,25,0,-0.10109285486510555
43,-0.2403161408549584,saa,50,0,-0.09393834225767186
44,-0.23226095913102968,mle,50,0,-0.09635884267673753
45,-0.25825695240852975,ks,50,0,-0.08715898241003378
46,-0.23570267676454362,mle_fixed,50,0,-0.09537190711387745
47,-0.2669402795709697,ks_fixed,50,0,-0.08318959679309089
48,-0.044367048558310584,saa,10,0,-0.04322184255834039
49,-0.03339605362477447,mle,10,0,-0.03362468015536704
50,-0.1484247597750173,ks,10,0,-0.09861834882978608
51,-0.027995196436620805,mle_fixed,10,0,-0.028636929216294977
52,-0.11861532754095003,ks_fixed,10,0,-0.08933735722008755
53,-0.10380889772182464,saa,25,0,-0.08276101096821765
54,-0.09591450136808713,mle,25,0,-0.07872121445902701
55,-0.10516706643981147,ks,25,0,-0.08341861857700744
56,-0.10027681728530219,mle_fixed,25,0,-0.08099940680148271
57,-0.10696245880871404,ks_fixed,25,0,-0.08427107013840236
58,-0.25422561335533733,saa,50,0,-0.08884923733250281
59,-0.2253583298216492,mle,50,0,-0.09812566778531939
60,-0.2396885365509509,ks,50,0,-0.09414080738147414
61,-0.24280171646772467,mle_fixed,50,0,-0.09311346137666848
62,-0.24070296070438232,ks_fixed,50,0,-0.09381238611133351
63,-0.413197289432613,saa,10,0,0.051125116261290855
64,-0.3691532973535035,mle,10,0,-0.002723536220534147
65,-0.4784429089781936,ks,10,0,0.15212137922184588
66,-0.3604551756536699,mle_fixed,10,0,-0.011992342569378363
67,-0.47530229884074415,ks_fixed,10,0,0.14667929555130788
68,-0.2357783257912373,saa,25,0,-0.0953494221774556
