,x_star,method,N,distribution,expected_cost
0,0.005070676431787003,true,10,0,-2.760610525036531e-05
1,0.005070676431787003,true,25,0,-2.760610525036531e-05
2,0.005070676431787003,true,50,0,-2.760610525036531e-05
3,0.2012152155371504,saa,10,0,0.006797984225719824
4,0.19899385127114405,mle,10,0,0.006634528660917073
5,0.1255848291189531,ks,10,0,0.0023432327887348285
6,0.19365081247865504,mle_fixed,10,0,0.006249453009142877
7,0.14951076224729234,ks_fixed,10,0,0.003505093284546964
8,0.10822680976451353,saa,25,0,0.0016436364319650182
9,0.11077736189070853,mle,25,0,0.0017388802570046818
10,-0.04866556987218813,ks,25,0,0.0007879692592517713
11,0.11777478078618858,mle_fixed,25,0,0.002013543142503765
12,-0.05087351454386976,ks_fixed,25,0,0.000846184407539811
13,-0.0640504468832255,saa,50,0,0.0012341553613828434
14,-0.08497267597008938,mle,50,0,0.0019928586708071283
15,-0.03522142802681218,ks,50,0,0.0004755838725415717
16,-0.09774977653465206,mle_fixed,50,0,0.0025423109285103167
17,0.026961993110166525,ks_fixed,50,0,-2.874152435240098e-05
18,0.010285606179676852,saa,10,0,-4.5269821024732104e-05
19,0.03145847589919811,mle,10,0,-5.244282535835587e-06
20,-0.17578702824423145,ks,10,0,0.007315518819588117
21,0.07644418129373606,mle_fixed,10,0,0.0006750354630528931
22,-0.19926910731257577,ks_fixed,10,0,0.00922859504730149
23,0.4654073416973917,saa,25,0,0.04031501192163052
24,0.4757617395158411,mle,25,0,0.042197186894044045
25,0.38126397718642707,ks,25,0,0.026610088753764156
26,0.5091171081663568,mle_fixed,25,0,0.048551963986110974
27,0.4170391113517327,ks_fixed,25,0,0.03209091864330118
28,0.10656548143173264,saa,50,0,0.0015829978512207693
29,0.13147695516976227,mle,50,0,0.0026081071684672824
30,-0.02115547935887893,ks,50,0,0.00022614141126848483
31,0.13674425320799627,mle_fixed,50,0,0.002856649059260294
32,-0.02744793395892206,ks_fixed,50,0,0.00032794755499306174
33,-0.03599030271428431,saa,10,0,0.000491500152339278
34,-0.02458625224133695,mle,10,0,0.0002796846136504308
35,-0.2711195952011019,ks,10,0,0.01645216579963253
36,-0.022326949731708488,mle_fixed,10,0,0.0002438949111185685
37,-0.2278008064982111,ks_fixed,10,0,0.011849870238431271
38,0.15458417529520943,saa,25,0,0.0037808869980262842
39,0.10238798002978568,mle,25,0,0.0014353971510298765
40,0.06620187975590511,ks,25,0,0.0004489795501804684
41,0.10777913394781194,mle_fixed,25,0,0.001627187574049086
42,0.07976069677146938,ks_fixed,25,0,0.000757227258338681
43,0.33149642446544814,saa,50,0,0.019837039347626415
44,0.2978342199511905,mle,50,0,0.015817511960549303
45,0.3353846359695413,ks,50,0,0.020330522644290507
46,0.28887843260775176,mle_fixed,50,0,0.014824457268768713
47,0.2705580461642318,ks_fixed,50,0,0.012892959157963367
48,-0.15207787906559106,saa,10,0,0.005607716048725561
49,-0.13976304406253767,mle,10,0,0.0048093873540874296
50,-0.3569476034682609,ks,10,0,0.027787628760269297
51,-0.12350745950255232,mle_fixed,10,0,0.003848479098660832
52,-0.3378170660654448,ks_fixed,10,0,0.025005831796367776
53,0.031005217277394432,saa,25,0,-7.979398506405788e-06
54,0.06605787581812955,mle,25,0,0.00044610040010340744
55,-0.16227508098544013,ks,25,0,0.006314677780115485
56,0.07724678111864387,mle_fixed,25,0,0.0006945224201723884
57,-0.17420252017635313,ks_fixed,25,0,0.007194373179903908
58,0.2089918417694856,saa,50,0,0.00738576505463504
59,0.18062014523445313,mle,50,0,0.005358210209876803
60,0.21626783387170834,ks,50,0,0.007957610994827282
61,0.21453486142115394,mle_fixed,50,0,0.007819489383752048
62,0.17146234514791225,ks_fixed,50,0,0.004772494734641251
63,0.12015473942047375,saa,10,0,0.0021114249006289505
64,0.10317887143647222,mle,10,0,0.0014628054691591546
65,-0.18666491202320123,ks,10,0,0.008174314561550934
66,0.0947979298373013,mle_fixed,10,0,0.0011850865412808642
67,-0.2003172115062569,ks_fixed,10,0,0.009319125742823188
68,0.07040593229329403,saa,25,0,0.0005366893806508013
69,0.08207957820640027,mle,25,0,0.0008173086760745624
70,-0.026061196803414927,ks,25,0,0.00030415083165967233
71,0.09299030936825745,mle_fixed,25,0,0.0011288709044819756
72,-0.06358852211552714,ks_fixed,25,0,0.0012193801461987497
