,w_star,method,gamma,N,expected_return,mean_variance
43,"[6.42497719e-01 6.46395914e-17 1.13273622e-04 3.55464941e-01
 1.92406600e-03]",Bagging,20,200,27.02014748426913,2.341526175638693
44,"[7.46222155e-01 4.16333634e-17 6.24500451e-17 2.53777845e-01
 0.00000000e+00]",MLE,20,200,26.76220906115969,2.3494525599990403
45,"[4.92052196e-01 2.18575158e-16 7.84962373e-17 5.07947804e-01
 0.00000000e+00]",SAA,20,50,27.415425856279143,2.3452148366117562
46,"[4.67242473e-01 1.74764978e-16 4.23968095e-03 5.28435825e-01
 8.20205107e-05]",Bagging,20,50,27.479750481491408,2.3530851064117075
47,"[6.99401343e-01 0.00000000e+00 1.18828558e-16 3.00598657e-01
 2.57172755e-16]",MLE,20,50,26.882538548294093,2.3444682516276285
48,"[2.80124078e-01 2.26164573e-16 0.00000000e+00 7.19875922e-01
 1.61112443e-16]",SAA,20,100,27.960081118555774,2.384452834472579
49,"[2.45650793e-01 4.96192836e-02 5.29994610e-05 6.42596882e-01
 6.20800420e-02]",Bagging,20,100,27.597150018912277,2.398577618535662
50,"[3.12155990e-01 7.47143279e-04 6.20163643e-17 6.87096867e-01
 4.50892578e-17]",MLE,20,100,27.87516651929619,2.376011239512944
51,"[5.31176394e-01 2.10768902e-16 0.00000000e+00 4.68823606e-01
 1.04083409e-17]",SAA,20,200,27.314876667981885,2.3422241038780616
52,"[5.06338936e-01 1.59769053e-02 1.21693354e-04 4.28179842e-01
 4.93826231e-02]",Bagging,20,200,27.101074042164083,2.354908675544132
53,"[5.49983528e-01 0.00000000e+00 2.25514052e-17 4.50016472e-01
 0.00000000e+00]",MLE,20,200,27.26654233335724,2.341258211713221
54,"[4.81757177e-01 4.33680869e-16 4.85722573e-17 5.18242823e-01
 0.00000000e+00]",SAA,20,50,27.441884055519274,2.346222106861699
55,"[4.99129233e-01 1.89745138e-16 6.94196548e-04 4.98520472e-01
 1.65609843e-03]",Bagging,20,50,27.389938151618704,2.3456978909328985
56,"[5.04501354e-01 0.00000000e+00 1.21430643e-16 4.95498646e-01
 4.54497551e-16]",MLE,20,50,27.38343151961955,2.344119406387035
57,"[0.00000000e+00 0.00000000e+00 4.94396191e-17 1.00000000e+00
 0.00000000e+00]",SAA,20,100,28.68,2.496
58,"[4.34999282e-02 8.72617955e-03 3.43884004e-16 9.30097397e-01
 1.76764954e-02]",Bagging,20,100,28.4583811123202,2.472083483619418
59,"[0.00000000e+00 0.00000000e+00 2.98372438e-16 1.00000000e+00
 0.00000000e+00]",MLE,20,100,28.680000000000025,2.4960000000000067
60,"[6.00687859e-01 0.00000000e+00 7.37257477e-17 3.99312141e-01
 0.00000000e+00]",SAA,20,200,27.136232201884894,2.340180273659985
61,[0.57276961 0.00072131 0.00840226 0.40113316 0.01697365],Bagging,20,200,27.13094622270098,2.355273203694694
62,"[6.93955853e-01 0.00000000e+00 3.20923843e-17 3.06044147e-01
 0.00000000e+00]",MLE,20,200,26.896533457725745,2.344011790688848
63,"[8.44765319e-01 0.00000000e+00 0.00000000e+00 3.27429056e-17
 1.55234681e-01]",SAA,20,50,25.810397065000302,2.4209831648088276
64,[0.59255127 0.1135306  0.01290965 0.11267271 0.16833578],Bagging,20,50,26.00852119656818,2.441446068680193
65,"[6.12482348e-01 0.00000000e+00 7.69783542e-18 0.00000000e+00
 3.87517652e-01]",MLE,20,50,25.36209093093912,2.473811263288191
66,"[4.83263908e-01 0.00000000e+00 6.24500451e-17 5.16736092e-01
 0.00000000e+00]",SAA,20,100,27.438011755754147,2.3460689538348123
67,"[4.54196019e-01 8.29367063e-17 3.14436419e-04 5.35799118e-01
 9.69042740e-03]",Bagging,20,100,27.469178484765703,2.3510726082839306
68,"[3.36172041e-01 0.00000000e+00 0.00000000e+00 6.63827959e-01
 1.90819582e-17]",MLE,20,100,27.816037854619516,2.370292665317565
69,"[3.51646161e-01 0.00000000e+00 1.00613962e-16 6.48353839e-01
 0.00000000e+00]",SAA,20,200,27.776269365367696,2.366862444050807
70,"[3.67811121e-01 1.12121345e-16 2.19352840e-05 6.20919625e-01
 1.12473182e-02]",Bagging,20,200,27.6841173121494,2.3646540313740596
71,"[3.07964225e-01 1.80411242e-16 0.00000000e+00 6.92035775e-01
 7.45931095e-17]",MLE,20,200,27.888531941625317,2.3770791554602106
72,"[8.79606299e-01 3.60822483e-16 0.00000000e+00 1.20393701e-01
 1.94289029e-16]",SAA,20,50,26.41941181204279,2.3740597630820632
73,"[7.50741438e-01 3.97332652e-16 3.66645536e-16 1.90614177e-01
 5.86443845e-02]",Bagging,20,50,26.48669477357221,2.366309974314052
74,"[8.50986939e-01 0.00000000e+00 1.62576116e-16 1.49013061e-01
 0.00000000e+00]",MLE,20,50,26.492963565631133,2.3674816928468037
75,"[6.39549963e-01 0.00000000e+00 3.42607887e-17 3.60450037e-01
 2.19008839e-17]",SAA,20,100,27.036356595205714,2.3408612534099937
76,[0.57752639 0.01802412 0.00250105 0.34950125 0.05244718],Bagging,20,100,26.897751376481043,2.358046933863895
77,"[8.21675482e-01 0.00000000e+00 1.74339709e-16 1.78324518e-01
 0.00000000e+00]",MLE,20,100,26.56829401185802,2.3614797958690397
