,method,N,x_star,expected_cost
0,SAA,10,-0.20787329495939563,-0.20026022391860487
1,Bayes,10,-0.210729342724726,-0.20000240755489415
2,SAA,20,-0.18963534824917347,-0.19998301358346274
3,Bayes,20,-0.1910172730796027,-0.20012048712767816
4,SAA,50,-0.20421685153301444,-0.200471229481773
5,Bayes,50,-0.20541993785098028,-0.20041655993437482
6,Bayes,50,-0.20541993785098028,-0.20041655993437482
